Module Resource Usage Distribution Estimates
Generated at: May 14, 2022 12:36:31

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
   +gen_probe_in_sync[24].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[25].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[26].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[27].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[28].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[29].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[30].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[31].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[32].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[33].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[34].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[35].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[36].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[37].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[38].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[39].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[40].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[41].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[42].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[43].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[44].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[45].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[46].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[47].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[48].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[49].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[50].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[51].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[52].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[53].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[54].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[55].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[56].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[57].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[58].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[59].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[60].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[61].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[62].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[63].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[64].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[65].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[66].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[67].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
 +debug_hub_inst:debug_hub                                  	     41(41)	       0(0)	     15(15)	     0(0)	     0(0)	
